Elapsed Time : 133.32, Accuracy : 39.55
Elapsed Time : 134.32, Accuracy : 39.26
Elapsed Time : 135.32, Accuracy : 38.97
Elapsed Time : 136.33, Accuracy : 38.69
Elapsed Time : 137.33, Accuracy : 38.41
Elapsed Time : 138.33, Accuracy : 38.13
Elapsed Time : 139.33, Accuracy : 37.86
Elapsed Time : 140.33, Accuracy : 37.59
Elapsed Time : 141.33, Accuracy : 37.32
Elapsed Time : 142.33, Accuracy : 37.06
Elapsed Time : 143.34, Accuracy : 36.81
Elapsed Time : 144.34, Accuracy : 36.55
Elapsed Time : 145.34, Accuracy : 36.30
Elapsed Time : 146.34, Accuracy : 36.05
Elapsed Time : 147.34, Accuracy : 35.81
Elapsed Time : 148.34, Accuracy : 35.57
Elapsed Time : 149.34, Accuracy : 35.33
Elapsed Time : 150.35, Accuracy : 35.10
Elapsed Time : 151.35, Accuracy : 34.87
Elapsed Time : 152.35, Accuracy : 34.64
Elapsed Time : 153.35, Accuracy : 34.42
Elapsed Time : 154.35, Accuracy : 34.19
Elapsed Time : 155.35, Accuracy : 33.97
Elapsed Time : 156.35, Accuracy : 33.76
Elapsed Time : 157.35, Accuracy : 33.54
Elapsed Time : 158.36, Accuracy : 33.33
Elapsed Time : 159.36, Accuracy : 33.12
Elapsed Time : 160.36, Accuracy : 32.92
Elapsed Time : 161.36, Accuracy : 32.72
Elapsed Time : 162.36, Accuracy : 32.52
Elapsed Time : 163.36, Accuracy : 32.32
Elapsed Time : 164.36, Accuracy : 32.12
Elapsed Time : 165.36, Accuracy : 31.93
Elapsed Time : 166.37, Accuracy : 31.74
Elapsed Time : 167.37, Accuracy : 31.55
Elapsed Time : 168.37, Accuracy : 31.36
Elapsed Time : 169.37, Accuracy : 31.18
Elapsed Time : 170.37, Accuracy : 30.99
Elapsed Time : 171.37, Accuracy : 30.81
Elapsed Time : 172.37, Accuracy : 30.64
Elapsed Time : 173.38, Accuracy : 30.46
Elapsed Time : 174.38, Accuracy : 30.29
Elapsed Time : 175.38, Accuracy : 30.11
Elapsed Time : 176.38, Accuracy : 29.94
Elapsed Time : 177.38, Accuracy : 29.78
Elapsed Time : 178.38, Accuracy : 29.61
Elapsed Time : 179.38, Accuracy : 29.44
Elapsed Time : 180.39, Accuracy : 29.28
Elapsed Time : 181.39, Accuracy : 29.12
Elapsed Time : 182.39, Accuracy : 28.96
Elapsed Time : 183.39, Accuracy : 28.80
Elapsed Time : 184.39, Accuracy : 28.65
Elapsed Time : 185.39, Accuracy : 28.49
Elapsed Time : 186.40, Accuracy : 28.34
Elapsed Time : 187.40, Accuracy : 28.19
Elapsed Time : 188.40, Accuracy : 28.04
Elapsed Time : 189.40, Accuracy : 27.89
Elapsed Time : 190.40, Accuracy : 27.75
Elapsed Time : 191.40, Accuracy : 27.60
Elapsed Time : 192.40, Accuracy : 27.46
Elapsed Time : 193.41, Accuracy : 27.32
Elapsed Time : 194.41, Accuracy : 27.18
Elapsed Time : 195.41, Accuracy : 27.04
Elapsed Time : 196.41, Accuracy : 26.90
Elapsed Time : 197.41, Accuracy : 26.77
Elapsed Time : 198.41, Accuracy : 26.63
