0.001, 0.31, 0.02
0.061, 0.00, 0.01
0.122, 0.32, 0.28
0.182, 0.40, 0.39
0.243, -0.06, -0.02
0.303, -0.07, -0.07
0.364, 0.38, 0.33
0.424, -0.11, -0.07
0.485, -0.06, -0.06
0.545, -0.03, -0.04
0.605, -0.09, -0.08
0.666, -0.08, -0.08
0.726, 0.09, 0.07
0.786, -0.06, -0.05
0.847, 0.14, 0.12
0.907, 0.07, 0.08
0.968, 0.10, 0.09
1.028, -0.01, -0.00
1.088, 0.06, 0.06
1.149, 0.15, 0.14
1.209, 0.23, 0.22
1.269, 0.16, 0.16
1.329, 0.03, 0.04
1.389, 0.04, 0.04
1.449, 0.30, 0.27
1.509, 0.11, 0.13
1.569, 0.13, 0.13
1.629, 0.25, 0.24
1.689, 0.12, 0.13
1.749, 0.27, 0.26
1.809, 0.22, 0.23
1.870, -0.21, -0.17
1.930, -0.09, -0.09
1.990, -0.07, -0.08
2.050, -0.17, -0.16
2.110, 0.20, 0.16
2.170, -0.09, -0.07
2.230, -0.23, -0.22
2.290, -0.04, -0.06
2.351, 0.06, 0.05
2.411, -0.16, -0.14
2.471, 0.17, 0.13
2.531, -0.02, 0.00
2.591, 0.33, 0.29
2.651, -0.03, 0.00
2.711, 0.19, 0.17
2.771, 0.11, 0.11
2.831, -0.04, -0.02
2.891, 0.23, 0.20
2.951, 0.25, 0.25
3.011, 0.24, 0.24
3.071, 0.16, 0.17
3.131, -0.12, -0.09
3.191, 0.02, 0.01
3.252, 0.01, 0.01
3.312, 0.19, 0.17
3.372, 0.30, 0.29
3.432, 0.14, 0.15
3.492, 0.06, 0.07
3.552, -0.06, -0.04
3.612, -0.07, -0.07
3.672, -0.05, -0.05
3.732, 0.07, 0.06
3.792, -0.02, -0.01
3.853, 0.16, 0.14
3.913, 0.36, 0.34
3.973, 0.32, 0.32
4.033, 0.20, 0.21
4.093, -0.05, -0.03
4.153, 0.16, 0.14
4.213, 0.35, 0.33
4.273, 0.29, 0.29
4.333, 0.18, 0.19
4.394, 0.26, 0.25
4.454, 0.32, 0.31
4.514, 0.40, 0.39
4.574, 0.48, 0.47
4.634, 0.38, 0.39
4.696, 0.34, 0.35
4.758, 0.55, 0.53
4.821, 0.52, 0.52
4.883, 0.36, 0.38
4.945, 0.13, 0.15
5.007, 0.32, 0.30
5.069, 0.32, 0.32
5.131, 0.19, 0.20
5.193, 0.05, 0.07
5.256, 0.78, 0.71
5.317, -0.01, 0.06
5.379, 0.15, 0.14
5.441, 0.34, 0.32
5.503, 0.01, 0.04
5.566, 0.23, 0.21
5.627, 0.01, 0.03
5.689, 0.26, 0.24
5.752, 0.08, 0.09
5.814, 0.13, 0.13
5.876, 0.35, 0.32
5.938, 0.26, 0.27
6.001, 0.33, 0.32
6.063, 0.48, 0.46
6.125, 0.22, 0.24
6.187, 0.15, 0.16
6.250, 0.30, 0.29
6.312, 0.28, 0.28
6.375, 0.35, 0.34
6.436, 0.29, 0.29
6.498, 0.15, 0.16
6.560, 0.33, 0.31
6.622, 0.45, 0.43
6.685, 0.43, 0.43
6.746, 0.39, 0.39
6.808, 0.32, 0.33
6.871, 0.29, 0.29
6.933, 0.41, 0.40
6.995, 0.50, 0.49
7.057, 0.25, 0.28
7.120, 1.20, 1.11
7.182, 0.48, 0.54
7.244, 0.17, 0.20
7.306, 0.44, 0.42
7.368, 0.25, 0.27
7.430, 0.35, 0.34
7.492, 0.42, 0.41
7.554, 0.37, 0.38
7.616, 0.23, 0.24
7.678, 0.22, 0.23
7.741, 0.25, 0.24
7.803, 0.09, 0.11
7.865, 0.36, 0.34
7.927, 0.29, 0.30
7.989, 0.39, 0.38
8.051, 0.36, 0.36
8.114, 0.08, 0.11
8.176, 0.43, 0.40
8.238, 0.10, 0.13
8.300, 0.26, 0.24
8.362, 0.25, 0.24
8.425, 0.21, 0.22
8.487, 0.51, 0.48
8.551, 0.55, 0.54
8.613, 0.16, 0.19
8.675, 0.25, 0.25
8.737, 0.42, 0.41
8.799, 0.35, 0.36
8.862, 0.41, 0.40
8.924, 0.22, 0.24
8.986, 0.44, 0.42
9.048, 0.38, 0.39
9.110, 0.70, 0.67
9.172, 0.58, 0.59
9.235, 0.51, 0.52
9.297, 0.41, 0.42
9.359, 0.37, 0.38
9.422, 0.41, 0.40
9.484, 0.42, 0.42
9.546, 0.33, 0.34
9.609, 0.64, 0.61
9.671, 0.44, 0.46
9.733, 0.30, 0.32
9.795, 0.40, 0.39
9.857, 0.69, 0.66
9.919, 0.41, 0.44
9.982, 0.37, 0.38
10.044, 0.29, 0.30
10.105, 0.36, 0.35
10.167, 0.51, 0.49
10.230, 0.45, 0.45
10.291, 0.49, 0.49
10.353, 0.18, 0.21
10.415, 0.75, 0.70
10.478, 0.62, 0.62
10.540, 0.53, 0.54
10.602, 0.76, 0.74
10.663, 0.38, 0.41
10.726, 0.52, 0.51
10.788, 0.85, 0.81
10.851, 0.45, 0.49
10.912, 0.64, 0.62
10.974, 2.10, 1.95
11.037, 0.52, 0.66
11.099, 0.82, 0.80
11.161, 0.78, 0.78
11.224, 0.64, 0.65
11.286, 0.63, 0.63
11.349, 0.64, 0.64
11.410, 0.68, 0.68
11.472, 0.73, 0.73
11.534, 0.84, 0.83
11.597, 0.77, 0.78
11.659, 0.78, 0.78
11.721, 1.13, 1.10
11.783, 0.72, 0.76
11.845, 0.69, 0.69
11.907, 0.69, 0.69
11.969, 0.71, 0.71
12.031, 0.67, 0.68
12.093, 0.66, 0.66
12.155, 0.51, 0.53
12.217, 0.61, 0.60
12.279, 0.62, 0.62
12.342, 0.62, 0.62
12.404, 0.78, 0.77
12.466, 0.75, 0.76
12.529, 0.82, 0.82
12.591, 0.95, 0.94
12.653, 0.60, 0.64
12.715, 0.83, 0.81
12.777, 0.63, 0.65
12.839, 0.47, 0.48
12.901, 0.76, 0.73
12.963, 0.43, 0.46
13.025, 0.50, 0.50
13.087, 0.56, 0.56
13.149, 0.41, 0.43
13.212, 0.40, 0.40
13.274, 0.54, 0.53
13.336, 0.47, 0.47
13.398, 0.38, 0.39
13.460, 0.45, 0.44
13.522, 0.45, 0.45
13.584, 0.41, 0.41
13.647, 0.57, 0.55
13.709, 0.34, 0.36
13.771, 0.30, 0.30
13.833, 0.38, 0.37
13.896, 0.51, 0.50
13.958, 0.36, 0.37
14.020, 0.16, 0.18
14.082, 0.23, 0.22
14.144, 0.45, 0.43
14.206, 0.28, 0.30
14.269, 0.35, 0.34
14.331, 0.47, 0.46
14.393, 0.36, 0.37
14.456, 0.63, 0.60
14.518, 0.55, 0.55
14.578, 0.27, 0.30
14.640, 0.37, 0.37
14.703, 0.11, 0.14
14.765, 0.21, 0.20
14.828, 0.42, 0.40
14.889, 0.19, 0.21
14.951, 0.52, 0.48
15.013, 0.19, 0.22
15.076, 0.12, 0.13
15.138, 0.01, 0.02
15.199, 0.27, 0.24
15.262, 0.20, 0.20
15.324, 0.13, 0.13
15.386, 0.26, 0.25
15.447, 0.45, 0.43
15.510, 0.41, 0.41
15.572, 0.37, 0.37
15.634, 0.25, 0.26
15.696, 0.29, 0.29
15.758, 0.26, 0.26
15.821, 0.32, 0.31
15.883, 0.34, 0.33
15.945, 0.28, 0.28
16.008, 0.30, 0.30
16.070, 0.52, 0.50
16.132, 0.28, 0.30
16.194, 0.28, 0.28
16.256, 0.33, 0.33
16.318, 0.25, 0.26
16.381, 0.51, 0.49
16.442, 0.13, 0.16
16.505, 0.20, 0.19
16.567, 0.29, 0.28
16.629, 0.41, 0.40
16.691, 0.47, 0.46
16.753, 0.65, 0.63
16.815, 0.43, 0.45
16.877, 0.53, 0.53
16.939, 0.44, 0.45
17.001, 0.25, 0.27
17.062, 0.18, 0.19
17.124, 0.41, 0.39
17.186, 0.40, 0.39
17.248, 0.34, 0.34
17.310, 0.25, 0.26
17.373, 0.42, 0.40
17.434, 0.31, 0.32
17.497, 0.35, 0.35
17.559, 0.33, 0.33
17.620, 0.53, 0.51
17.682, 0.36, 0.37
17.744, 0.42, 0.41
17.807, 0.44, 0.44
17.869, 0.39, 0.40
17.931, 0.42, 0.42
17.992, 0.24, 0.26
18.055, 0.24, 0.24
18.117, 0.49, 0.47
18.179, 0.30, 0.32
18.241, 0.47, 0.45
18.303, 0.16, 0.19
18.365, 0.29, 0.28
18.427, 0.37, 0.36
18.490, 0.44, 0.43
18.552, 0.21, 0.23
18.614, 0.24, 0.24
18.676, 0.13, 0.14
18.739, 0.14, 0.14
18.801, 0.11, 0.11
18.862, 0.31, 0.29
18.925, 0.37, 0.36
18.987, 0.27, 0.28
19.048, 0.40, 0.39
19.110, 0.21, 0.23
19.173, 0.36, 0.35
19.235, 0.24, 0.25
19.297, 0.37, 0.36
19.359, 0.29, 0.29
19.421, 0.39, 0.38
19.484, 0.00, 0.04
19.546, 0.36, 0.33
19.608, 0.31, 0.31
